ano_concessao_bolsa,tipo_bolsa,modalidade_ensino_bolsa,nome_curso_bolsa,turno,sexo_beneficiario,raca_beneficiario,municipio_beneficiario,instituicao_ensino,cpf
2006,Integral,Presencial,Curso Sequencial De Formao Especfica Em Design De Interiores - Empresarial E Residencial,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE CATLICA DE SANTOS,
2007,Integral,Presencial,Curso Superior De Tecnologia Em Gesto Ambiental E Segurana Do Trabalho (rea Profissional: Meio Ambiente),Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE BRAZ CUBAS,
2007,Integral,Presencial,Cincias Contbeis,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE BRAZ CUBAS,
2007,Integral,Presencial,Engenharia Civil,,Masculino,Branca,BERTIOGA,UNIVERSIDADE PRESBITERIANA MACKENZIE,
2007,Integral,Presencial,Arquitetura E Urbanismo,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE SANTA CECLIA,
2007,Integral,Presencial,Enfermagem,Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE DE RIBEIRO PRETO,
2007,Integral,Presencial,Direito,Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE CATLICA DE SANTOS,
2008,Integral,EAD,Letras - Portugus E Espanhol,,Masculino,Branca,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2008,Integral,EAD,Processos Gerenciais,,Masculino,Parda,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2008,Integral,EAD,Pedagogia,,Masculino,Branca,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2008,Integral,EAD,Administrao,,Masculino,Branca,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2008,Integral,EAD,Administrao,,Masculino,Parda,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2008,Integral,EAD,Administrao,,Masculino,Preta,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2008,Integral,Presencial,Fisioterapia,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE PAULISTA,
2008,Integral,Presencial,Matemtica,Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE BRAZ CUBAS,
2008,Integral,Presencial,Engenharia Ambiental,Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE BRAZ CUBAS,
2008,Integral,Presencial,Arquitetura E Urbanismo,Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE BRAZ CUBAS,
2008,Integral,Presencial,Psicologia,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE CATLICA DE SANTOS,
2008,Integral,Presencial,Direito,Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE PRESBITERIANA MACKENZIE,
2008,Integral,Presencial,Marketing E Promoo De Vendas,Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE DE MOGI DAS CRUZES,
2008,Parcial,Presencial,Secretariado Executivo,Noturno,Feminino,Parda,BERTIOGA,FACULDADE DO GUARUJ,
2008,Parcial,Presencial,Turismo,Noturno,Masculino,Branca,BERTIOGA,FACULDADE DO GUARUJ,
2008,Integral,Presencial,Cincias Contbeis,Noturno,Masculino,Branca,BERTIOGA,FACULDADE FAE BLUMENAU,
2009,Integral,EAD,Letras - Portugus E Espanhol,,Masculino,Parda,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2009,Integral,EAD,Processos Gerenciais,,Masculino,Branca,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2009,Integral,EAD,Pedagogia,,Feminino,Branca,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2009,Integral,EAD,Pedagogia,,Feminino,Branca,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2009,Integral,EAD,Pedagogia,,Feminino,Parda,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2009,Integral,EAD,Pedagogia,,Feminino,Branca,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2009,Integral,EAD,Pedagogia,,Feminino,Parda,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2009,Integral,EAD,Pedagogia,,Feminino,Parda,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2009,Integral,EAD,Administrao,,Feminino,Parda,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2009,Integral,EAD,Administrao,,Masculino,Branca,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2009,Integral,Presencial,Psicologia,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE PAULISTA,
2009,Integral,EAD,Pedagogia,,Feminino,Branca,BERTIOGA,CENTRO UNIVERSITRIO INTERNACIONAL,
2009,Integral,Presencial,Letras - Portugus E Ingls,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE BRAZ CUBAS,
2009,Integral,Presencial,Administrao,Noturno,Feminino,Preta,BERTIOGA,UNIVERSIDADE BRAZ CUBAS,
2009,Integral,Presencial,Gesto De Ambientes Internet E Redes De Computadores,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE CATLICA DE SANTOS,
2009,Integral,Presencial,Direito,Matutino,Masculino,Branca,BERTIOGA,PONTIFCIA UNIVERSIDADE CATLICA DE SO PAULO,
2009,Integral,Presencial,,Noturno,Masculino,Branca,BERTIOGA,CENTRO UNIVERSITRIO MONTE SERRAT,
2009,Parcial,Presencial,Servio Social,Noturno,Masculino,Branca,BERTIOGA,CENTRO UNIVERSITRIO MONTE SERRAT,
2009,Integral,Presencial,Nutrio,Noturno,Feminino,Branca,BERTIOGA,CENTRO UNIVERSITRIO MONTE SERRAT,
2009,Integral,Presencial,Petrleo E Gs,Noturno,Masculino,Branca,BERTIOGA,CENTRO UNIVERSITRIO MONTE SERRAT,
2009,Parcial,Presencial,Petrleo E Gs,Noturno,Masculino,Branca,BERTIOGA,CENTRO UNIVERSITRIO MONTE SERRAT,
2009,Parcial,Presencial,Direito,Noturno,Feminino,Parda,BERTIOGA,FACULDADE DO GUARUJ,
2009,Parcial,Presencial,Pedagogia,Noturno,Feminino,Preta,BERTIOGA,FACULDADE DO GUARUJ,
2009,Integral,Presencial,Cincia Da Computao,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE SANTA CECLIA,
2009,Integral,Presencial,Cincias Contbeis,Noturno,Feminino,Branca,BERTIOGA,FACULDADE DO GUARUJ,
2009,Parcial,Presencial,Administrao,Noturno,Feminino,Branca,BERTIOGA,FACULDADE DO GUARUJ,
2009,Parcial,Presencial,Administrao,Noturno,Feminino,Branca,BERTIOGA,FACULDADE DO GUARUJ,
2009,Parcial,Presencial,Administrao,Noturno,Masculino,Branca,BERTIOGA,FACULDADE DO GUARUJ,
2009,Integral,Presencial,Administrao,Noturno,Masculino,Parda,BERTIOGA,FACULDADE DO GUARUJ,
2009,Parcial,Presencial,Administrao,Noturno,Feminino,Parda,BERTIOGA,FACULDADE DO GUARUJ,
2009,Integral,Presencial,Comrcio Exterior,Noturno,Feminino,Branca,BERTIOGA,FACULDADE DO GUARUJ,
2009,Integral,Presencial,Engenharia,Matutino,Feminino,Branca,BERTIOGA,CENTRO UNIVERSITRIO DA FUNDAO EDUCACIONAL INACIANA PE SABIA DE MEDEIROS,
2009,Integral,Presencial,Educao Fsica,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE DE RIBEIRO PRETO,
2009,Integral,Presencial,Direito,Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE DE RIBEIRO PRETO,
2009,Integral,Presencial,Direito,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE DE RIBEIRO PRETO,
2009,Integral,Presencial,Comunicao Social - Publicidade E Propaganda,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE DE RIBEIRO PRETO,
2009,Integral,Presencial,Relaes Internacionais,Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE DE RIBEIRO PRETO,
2009,Integral,Presencial,Gesto Porturia,Matutino,Masculino,Branca,BERTIOGA,UNIVERSIDADE DE RIBEIRO PRETO,
2010,Integral,EAD,Processos Gerenciais,,Feminino,Branca,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2010,Integral,EAD,Gesto Ambiental,,Feminino,Parda,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2010,Integral,EAD,Gesto Ambiental,,Feminino,Branca,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2010,Integral,EAD,Gesto Pblica,,Feminino,Preta,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2010,Integral,Presencial,Psicologia,Noturno,Feminino,Parda,BERTIOGA,UNIVERSIDADE BRAZ CUBAS,
2010,Integral,Presencial,Marketing,Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE BRAZ CUBAS,
2010,Integral,Presencial,Design,Noturno,Masculino,Parda,BERTIOGA,FACULDADE ESAMC SANTOS,
2010,Integral,Presencial,Publicidade E Propaganda,Matutino,Masculino,Branca,BERTIOGA,PONTIFCIA UNIVERSIDADE CATLICA DE CAMPINAS,
2010,Parcial,Presencial,Direito,Noturno,Masculino,Branca,BERTIOGA,FACULDADE DO GUARUJ,
2010,Integral,Presencial,Administrao,Noturno,Feminino,Parda,BERTIOGA,UNIVERSIDADE SANTA CECLIA,
2010,Integral,Presencial,Cincias Contbeis,Noturno,Feminino,Branca,BERTIOGA,FACULDADE DO GUARUJ,
2010,Parcial,Presencial,Letras - Ingls,Noturno,Feminino,Parda,BERTIOGA,FACULDADE DO GUARUJ,
2010,Integral,Presencial,Anlise E Desenvolvimento De Sistemas,Noturno,Feminino,Parda,BERTIOGA,UNIVERSIDADE PAULISTA,
2010,Integral,Presencial,Gesto Porturia,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE DE RIBEIRO PRETO,
2010,Integral,Presencial,Letras - Ingls,Noturno,Feminino,Branca,BERTIOGA,FACULDADE DIADEMA,
2010,Integral,Presencial,Servio Social,Noturno,Feminino,Parda,BERTIOGA,FACULDADE PAULISTA DE SERVIO SOCIAL,
2010,Integral,EAD,Pedagogia,,Masculino,Parda,BERTIOGA,UNIVERSIDADE CIDADE DE SO PAULO,
2011,Integral,EAD,Pedagogia,,Masculino,Parda,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2011,Integral,EAD,Pedagogia,,Feminino,Parda,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2011,Integral,EAD,Administrao,,Feminino,Parda,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2011,Integral,EAD,Gesto Ambiental,,Masculino,Branca,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2011,Integral,EAD,Gesto Ambiental,,Masculino,Parda,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2011,Integral,EAD,Gesto Pblica,,Masculino,Branca,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2011,Integral,Presencial,Administrao,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE PAULISTA,
2011,Integral,Presencial,Cincias Contbeis,Noturno,Feminino,Parda,BERTIOGA,UNIVERSIDADE PAULISTA,
2011,Integral,Presencial,Direito,,Feminino,Branca,BERTIOGA,CENTRO UNIVERSITRIO SALESIANO DE SO PAULO,
2011,Parcial,EAD,Pedagogia,,Feminino,Branca,BERTIOGA,UNIVERSIDADE CIDADE DE SO PAULO,
2011,Integral,EAD,Gesto De Recursos Humanos,,Feminino,Branca,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2011,Parcial,Presencial,Cincias Contbeis,Noturno,Feminino,Parda,BERTIOGA,FACULDADE ESAMC SANTOS,
2011,Parcial,Presencial,Logstica,Noturno,Feminino,Branca,BERTIOGA,FACULDADE DE TECNOLOGIA E NEGCIOS CARLOS DRUMMOND DE ANDRADE ,
2011,Parcial,Presencial,Engenharia Ambiental E Sanitria,Noturno,Feminino,Parda,BERTIOGA,FACULDADE ESAMC SANTOS,
2011,Integral,Presencial,Enfermagem,Matutino,Masculino,Branca,BERTIOGA,UNIVERSIDADE DE MOGI DAS CRUZES,
2011,Integral,Presencial,Cincias Contbeis,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE SANTA CECLIA,
2011,Integral,Presencial,Sistemas De Informao,Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE DE MOGI DAS CRUZES,
2011,Integral,Presencial,Engenharia Eltrica,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE SANTA CECLIA,
2011,Integral,Presencial,Comrcio Exterior,Noturno,Masculino,Branca,BERTIOGA,FACULDADE DO GUARUJ,
2011,Integral,Presencial,Comrcio Exterior,Noturno,Masculino,Parda,BERTIOGA,FACULDADE DO GUARUJ,
2011,Integral,Presencial,Educao Fsica,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE DE RIBEIRO PRETO,
2011,Integral,Presencial,Comunicao Social - Publicidade E Propaganda,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE ANHEMBI MORUMBI,
2011,Integral,EAD,Gesto Da Tecnologia Da Informao,,Masculino,Parda,BERTIOGA,UNIVERSIDADE DE FRANCA,
2012,Integral,EAD,Pedagogia,,Feminino,Parda,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2012,Integral,EAD,Pedagogia,,Feminino,Parda,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2012,Integral,EAD,Gesto De Recursos Humanos,,Feminino,Branca,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2012,Integral,EAD,Marketing,,Masculino,Branca,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2012,Integral,EAD,Marketing,,Feminino,Branca,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2012,Integral,EAD,Gesto Ambiental,,Feminino,Parda,BERTIOGA,UNIVERSIDADE METODISTA DE SO PAULO,
2012,Integral,EAD,Pedagogia,,Masculino,Parda,BERTIOGA,UNIVERSIDADE PAULISTA,
2012,Integral,Presencial,Gesto De Recursos Humanos,Noturno,Feminino,Preta,BERTIOGA,UNIVERSIDADE PAULISTA,
2012,Integral,Presencial,Nutrio,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE PAULISTA,
2012,Integral,Presencial,Nutrio,Noturno,Feminino,Parda,BERTIOGA,UNIVERSIDADE PAULISTA,
2012,Integral,Presencial,Administrao,Matutino,Masculino,Branca,BERTIOGA,UNIVERSIDADE PAULISTA,
2012,Integral,Presencial,Direito,Matutino,Feminino,Parda,BERTIOGA,UNIVERSIDADE PAULISTA,
2012,Integral,Presencial,Direito,Matutino,Feminino,Branca,BERTIOGA,UNIVERSIDADE PAULISTA,
2012,Integral,Presencial,Radiologia,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE PAULISTA,
2012,Integral,Presencial,Radiologia,Noturno,Feminino,Parda,BERTIOGA,UNIVERSIDADE PAULISTA,
2012,Parcial,Presencial,Relaes Pblicas,Noturno,Feminino,Branca,BERTIOGA,FACULDADE ESAMC SANTOS,
2012,Integral,Presencial,Farmcia E Bioqumica,Noturno,Feminino,Parda,BERTIOGA,UNIVERSIDADE CATLICA DE SANTOS,
2012,Integral,Presencial,Logstica,Noturno,Feminino,Amarela,BERTIOGA,UNIVERSIDADE CATLICA DE SANTOS,
2012,Integral,Presencial,Histria,Noturno,Feminino,Parda,BERTIOGA,UNIVERSIDADE CATLICA DE SANTOS,
2012,Integral,Presencial,Gastronomia,Noturno,Feminino,Parda,BERTIOGA,UNIVERSIDADE CATLICA DE SANTOS,
2012,Integral,Presencial,Msica,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE CATLICA DE SANTOS,
2012,Integral,Presencial,Filosofia,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE CATLICA DE SANTOS,
2012,Integral,Presencial,Cincias Contbeis,Noturno,Feminino,Branca,BERTIOGA,CENTRO UNIVERSITRIO MONTE SERRAT,
2012,Integral,Presencial,Psicologia,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE CATLICA DE SANTOS,
2012,Integral,Presencial,Psicologia,Noturno,Feminino,Parda,BERTIOGA,UNIVERSIDADE CATLICA DE SANTOS,
2012,Integral,Presencial,Comunicao Social - Jornalismo,Matutino,Feminino,Preta,BERTIOGA,UNIVERSIDADE SANTA CECLIA,
2012,Integral,Presencial,Engenharia Eltrica,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE SANTA CECLIA,
2012,Integral,Presencial,Enfermagem,Noturno,Feminino,Parda,BERTIOGA,UNIVERSIDADE DE RIBEIRO PRETO,
2012,Integral,Presencial,Farmcia,Matutino,Feminino,Parda,BERTIOGA,CENTRO UNIVERSITRIO ANHANGUERA DE SO PAULO,
2013,Integral,Presencial,Nutrio,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE PAULISTA,
2013,Integral,Presencial,Petrleo E Gs,Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE PAULISTA,
2013,Integral,Presencial,Esttica E Cosmtica,Noturno,Feminino,Parda,BERTIOGA,UNIVERSIDADE PAULISTA,
2013,Integral,EAD,Matemtica,,Masculino,Branca,BERTIOGA,UNIVERSIDADE PAULISTA,
2013,Parcial,Presencial,Engenharia Civil,Noturno,Feminino,Branca,BERTIOGA,FACULDADE ESAMC SANTOS,
2013,Integral,Presencial,Administrao,Noturno,Masculino,Preta,BERTIOGA,UNIVERSIDADE CATLICA DE SANTOS,
2013,Integral,Presencial,Engenharia Civil,Noturno,Feminino,Parda,BERTIOGA,UNIVERSIDADE CATLICA DE SANTOS,
2013,Integral,Presencial,Engenharia Civil,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE CATLICA DE SANTOS,
2013,Integral,Presencial,Engenharia Ambiental,Noturno,Feminino,Parda,BERTIOGA,UNIVERSIDADE CATLICA DE SANTOS,
2013,Integral,Presencial,Publicidade E Propaganda,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE DE MOGI DAS CRUZES,
2013,Integral,Presencial,Engenharia Qumica,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE SANTA CECLIA,
2013,Integral,Presencial,Engenharia De Petrleo,Noturno,Masculino,Preta,BERTIOGA,UNIVERSIDADE SANTA CECLIA,
2013,Integral,Presencial,Engenharia De Petrleo,Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE SANTA CECLIA,
2013,Integral,Presencial,Secretariado Executivo,Noturno,Masculino,Branca,BERTIOGA,FACULDADE DO GUARUJ,
2013,Integral,Presencial,Administrao,Noturno,Feminino,Preta,BERTIOGA,UNIVERSIDADE SANTA CECLIA,
2013,Integral,Presencial,Direito,Matutino,Feminino,Parda,BERTIOGA,UNIVERSIDADE SANTA CECLIA,
2013,Integral,Presencial,Engenharia Civil,Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE DE RIBEIRO PRETO,
2014,Integral,EAD,Pedagogia,,Masculino,Preta,BERTIOGA,UNIVERSIDADE PAULISTA,
2014,Integral,Presencial,Cincia Da Computao,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE PAULISTA,
2014,Integral,Presencial,Nutrio,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE PAULISTA,
2014,Integral,Presencial,Nutrio,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE PAULISTA,
2014,Integral,Presencial,Propaganda E Marketing,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE PAULISTA,
2014,Parcial,Presencial,Cincias Contbeis,Noturno,Feminino,Branca,BERTIOGA,FACULDADE ESAMC SANTOS,
2014,Parcial,Presencial,Comunicao Social - Publicidade E Propaganda,Matutino,Feminino,Branca,BERTIOGA,FACULDADE ESAMC SANTOS,
2014,Parcial,Presencial,Cincias Econmicas,Noturno,Feminino,Branca,BERTIOGA,FACULDADE ESAMC SANTOS,
2014,Parcial,Presencial,Engenharia Civil,Noturno,Masculino,Parda,BERTIOGA,FACULDADE ESAMC SANTOS,
2014,Parcial,Presencial,Comunicao Institucional,Noturno,Feminino,Parda,BERTIOGA,FACULDADE ESAMC SANTOS,
2014,Integral,Presencial,Comunicao Social - Publicidade E Propaganda,Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE CATLICA DE SANTOS,
2014,Integral,Presencial,Engenharia De Produo,Noturno,Feminino,Amarela,BERTIOGA,CENTRO UNIVERSITRIO MONTE SERRAT,
2014,Integral,Presencial,Comunicao Social - Jornalismo,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE CATLICA DE SANTOS,
2014,Integral,Presencial,Engenharia Civil,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE SANTA CECLIA,
2014,Integral,Presencial,Arquitetura E Urbanismo,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE SANTA CECLIA,
2014,Integral,Presencial,Comunicao Social - Jornalismo,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE SANTA CECLIA,
2014,Integral,Presencial,Gastronomia,Matutino,Masculino,Branca,BERTIOGA,CENTRO UNIVERSITRIO MONTE SERRAT,
2014,Integral,Presencial,Cincias Contbeis,Matutino,Feminino,Parda,BERTIOGA,FACULDADE DO GUARUJ,
2014,Integral,Presencial,Cincias Contbeis,Noturno,Masculino,Parda,BERTIOGA,FACULDADE DO GUARUJ,
2014,Parcial,Presencial,Cincias Contbeis,Noturno,Feminino,Branca,BERTIOGA,FACULDADE DO GUARUJ,
2014,Integral,Presencial,Engenharia Qumica,Matutino,Masculino,Parda,BERTIOGA,UNIVERSIDADE SANTA CECLIA,
2014,Integral,Presencial,Cincias Biolgicas,Noturno,Feminino,Amarela,BERTIOGA,UNIVERSIDADE SANTA CECLIA,
2014,Integral,Presencial,Educao Fsica,Noturno,Feminino,Parda,BERTIOGA,UNIVERSIDADE SANTA CECLIA,
2014,Integral,Presencial,Engenharia De Produo,Matutino,Feminino,Parda,BERTIOGA,UNIVERSIDADE SANTA CECLIA,
2014,Parcial,Presencial,Engenharia Eltrica,Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE SANTA CECLIA,
2014,Integral,Presencial,Direito,Matutino,Masculino,Parda,BERTIOGA,FACULDADE DO GUARUJ,
2014,Integral,Presencial,Administrao,Noturno,Feminino,Preta,BERTIOGA,FACULDADE DO GUARUJ,
2014,Integral,Presencial,Administrao,Noturno,Masculino,Preta,BERTIOGA,FACULDADE DO GUARUJ,
2014,Parcial,Presencial,Produo Multimdia,Matutino,Masculino,Branca,BERTIOGA,FACULDADE PAULUS DE TECNOLOGIA E COMUNICAO,
2014,Integral,Presencial,Educao Fsica,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE DE RIBEIRO PRETO,
2014,Integral,Presencial,Direito,Noturno,Feminino,Preta,BERTIOGA,UNIVERSIDADE DE RIBEIRO PRETO,
2014,Integral,Presencial,Servio Social,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE DE RIBEIRO PRETO,
2014,Integral,Presencial,Enfermagem,Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE DE RIBEIRO PRETO,
2014,Integral,Presencial,Engenharia Civil,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE DE RIBEIRO PRETO,
2014,Integral,Presencial,Engenharia Civil,Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE DE RIBEIRO PRETO,
2014,Integral,Presencial,Engenharia Civil,Noturno,Masculino,Preta,BERTIOGA,UNIVERSIDADE DE RIBEIRO PRETO,
2014,Integral,Presencial,Qumica,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE ANHANGUERA DE SO PAULO - UNIAN-SP,
2014,Integral,Presencial,Direito,Matutino,Feminino,Branca,BERTIOGA,UNIVERSIDADE CATLICA DE SANTOS,
2014,Integral,Presencial,Letras - Portugus E Ingls,Noturno,Masculino,Branca,BERTIOGA,FACULDADE CENTRO PAULISTANO,
2014,Integral,Presencial,Letras - Lngua Portuguesa,Noturno,Masculino,Branca,BERTIOGA,FACULDADE CENTRO PAULISTANO,
2015,Integral,EAD,Pedagogia,,Feminino,Parda,BERTIOGA,UNIVERSIDADE PAULISTA,
2015,Integral,EAD,Pedagogia,,Feminino,Branca,BERTIOGA,UNIVERSIDADE PAULISTA,
2015,Integral,EAD,Letras - Portugus E Ingls,,Masculino,Branca,BERTIOGA,UNIVERSIDADE PAULISTA,
2015,Integral,Presencial,Enfermagem,Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE PAULISTA,
2015,Integral,Presencial,Enfermagem,Noturno,Feminino,Parda,BERTIOGA,UNIVERSIDADE PAULISTA,
2015,Integral,Presencial,Arquitetura E Urbanismo,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE PAULISTA,
2015,Integral,Presencial,Direito,Matutino,Feminino,Parda,BERTIOGA,UNIVERSIDADE PAULISTA,
2015,Integral,EAD,Pedagogia,,Feminino,Branca,BERTIOGA,UNIVERSIDADE ANHANGUERA - UNIDERP,
2015,Parcial,EAD,Cincias Contbeis,,Feminino,Preta,BERTIOGA,CENTRO UNIVERSITRIO INTERNACIONAL,
2015,Integral,EAD,Pedagogia,,Feminino,Branca,BERTIOGA,UNIVERSIDADE LUTERANA DO BRASIL,
2015,Parcial,EAD,Geografia,,Masculino,Parda,BERTIOGA,UNIVERSIDADE CIDADE DE SO PAULO,
